car_id,vehicle_age,km_driven,seller_type
1,9,53800,Dealer
2,11,11000,Dealer
3,11,80000,Dealer
4,10,57000,Dealer
5,11,72000,Individual
6,5,42000,Dealer
7,7,28000,Dealer
8,3,29000,Dealer
9,8,68000,Dealer
10,4,20700,Dealer
11,4,61000,Dealer
12,4,45000,Dealer
13,5,77658,Dealer
14,3,59000,Dealer
15,3,30112,Dealer
16,4,26000,Dealer
17,3,58000,Dealer
18,4,28239,Trustmark Dealer
19,3,31243,Trustmark Dealer
20,9,28000,Dealer
21,9,41321,Dealer
22,14,52235,Dealer
23,7,75001,Dealer
24,11,48156,Dealer
25,9,43000,Dealer
26,13,80000,Dealer
27,12,46000,Dealer
28,12,25000,Dealer
29,10,69000,Dealer
30,13,30000,Dealer
31,10,72000,Dealer
32,11,67789,Dealer
33,13,50000,Dealer
34,12,55274,Dealer
35,12,67833,Dealer
36,11,29000,Dealer
37,13,30008,Dealer
38,11,53503,Dealer
39,10,9000,Dealer
40,15,83000,Dealer
41,17,58000,Dealer
42,14,17000,Dealer
43,10,49100,Dealer
44,11,51479,Dealer
45,9,42000,Dealer
46,9,67000,Dealer
47,12,26097,Dealer
48,14,86156,Dealer
49,15,103000,Dealer
50,11,49650,Dealer
51,9,79000,Dealer
52,14,60235,Dealer
53,14,83000,Dealer
54,9,75000,Dealer
55,15,55000,Dealer
56,15,74650,Dealer
57,17,85000,Dealer
58,11,27000,Dealer
59,11,98499,Dealer
60,14,49251,Dealer
61,14,76366,Dealer
62,13,97000,Dealer
63,9,62000,Dealer
64,13,76000,Dealer
65,9,76154,Dealer
66,10,29000,Dealer
67,11,41000,Dealer
68,10,40256,Dealer
69,11,70000,Dealer
70,19,54000,Dealer
71,9,22215,Dealer
72,9,61043,Dealer
73,9,19455,Dealer
74,11,48679,Dealer
75,12,35000,Dealer
76,15,90000,Dealer
77,10,115000,Dealer
78,11,62000,Dealer
79,10,22500,Dealer
80,14,40000,Dealer
81,13,75000,Dealer
82,14,35000,Dealer
83,13,92000,Dealer
84,12,73000,Dealer
85,15,121153,Dealer
86,10,33111,Dealer
87,12,35000,Dealer
88,9,65535,Dealer
89,10,59455,Dealer
90,15,54171,Dealer
91,15,56000,Dealer
92,12,86240,Dealer
93,15,75000,Dealer
94,14,69000,Dealer
95,16,91000,Dealer
96,11,70000,Dealer
97,11,40000,Dealer
98,9,120000,Individual
99,16,70000,Individual
100,12,43000,Individual
101,16,5000,Individual
102,16,56700,Individual
103,10,40000,Individual
104,16,120000,Individual
105,16,40000,Individual
106,17,80000,Individual
107,18,120000,Individual
108,18,90000,Individual
109,16,120000,Individual
110,11,43000,Individual
111,17,80000,Individual
112,15,30000,Individual
