car_id,car_name,brand,model,fuel_type,transmission_type,mileage,engine,max_power,seats
1,Maruti Alto,Maruti,Alto,CNG,Manual,26.83,796,38.4,5
2,Maruti Alto,Maruti,Alto,CNG,Manual,26.83,796,38.4,5
3,Maruti Alto,Maruti,Alto,CNG,Manual,26.83,796,38.4,5
4,Maruti Alto,Maruti,Alto,CNG,Manual,26.83,796,38.4,5
5,Maruti Alto,Maruti,Alto,CNG,Manual,26.83,796,38.4,5
6,Maruti Alto,Maruti,Alto,CNG,Manual,33.44,796,40.3,4
7,Maruti Alto,Maruti,Alto,CNG,Manual,33.44,796,40.3,4
8,Maruti Alto,Maruti,Alto,CNG,Manual,33.44,796,40.3,4
9,Maruti Alto,Maruti,Alto,CNG,Manual,33.44,796,40.3,4
10,Maruti Alto,Maruti,Alto,CNG,Manual,33.44,796,40.3,4
11,Maruti Alto,Maruti,Alto,CNG,Manual,33.44,796,40.3,4
12,Maruti Alto,Maruti,Alto,CNG,Manual,33.44,796,40.3,4
13,Maruti Alto,Maruti,Alto,CNG,Manual,33.44,796,40.3,4
14,Maruti Alto,Maruti,Alto,CNG,Manual,33.44,796,40.3,4
15,Maruti Alto,Maruti,Alto,CNG,Manual,33.44,796,40.3,4
16,Maruti Alto,Maruti,Alto,CNG,Manual,33.44,796,40.3,4
17,Maruti Alto,Maruti,Alto,CNG,Manual,33.44,796,40.3,4
18,Maruti Alto,Maruti,Alto,CNG,Manual,33.44,796,40.3,4
19,Maruti Alto,Maruti,Alto,CNG,Manual,33.44,796,40.3,4
20,Maruti Alto,Maruti,Alto,Petrol,Manual,19.7,796,46.3,5
21,Maruti Alto,Maruti,Alto,Petrol,Manual,19.7,796,46.3,5
22,Maruti Alto,Maruti,Alto,Petrol,Manual,19.7,796,46.3,5
23,Maruti Alto,Maruti,Alto,Petrol,Manual,19.7,796,46.3,5
24,Maruti Alto,Maruti,Alto,Petrol,Manual,19.7,796,46.3,5
25,Maruti Alto,Maruti,Alto,Petrol,Manual,19.7,796,46.3,5
26,Maruti Alto,Maruti,Alto,Petrol,Manual,19.7,796,46.3,5
27,Maruti Alto,Maruti,Alto,Petrol,Manual,19.7,796,46.3,5
28,Maruti Alto,Maruti,Alto,Petrol,Manual,19.7,796,46.3,5
29,Maruti Alto,Maruti,Alto,Petrol,Manual,19.7,796,46.3,5
30,Maruti Alto,Maruti,Alto,Petrol,Manual,19.7,796,46.3,5
31,Maruti Alto,Maruti,Alto,Petrol,Manual,19.7,796,46.3,5
32,Maruti Alto,Maruti,Alto,Petrol,Manual,19.7,796,46.3,5
33,Maruti Alto,Maruti,Alto,Petrol,Manual,19.7,796,46.3,5
34,Maruti Alto,Maruti,Alto,Petrol,Manual,19.7,796,46.3,5
35,Maruti Alto,Maruti,Alto,Petrol,Manual,19.7,796,46.3,5
36,Maruti Alto,Maruti,Alto,Petrol,Manual,19.7,796,46.3,5
37,Maruti Alto,Maruti,Alto,Petrol,Manual,19.7,796,46.3,5
38,Maruti Alto,Maruti,Alto,Petrol,Manual,19.7,796,46.3,5
39,Maruti Alto,Maruti,Alto,Petrol,Manual,19.7,796,46.3,5
40,Maruti Alto,Maruti,Alto,Petrol,Manual,19.7,796,46.3,5
41,Maruti Alto,Maruti,Alto,Petrol,Manual,19.7,796,46.3,5
42,Maruti Alto,Maruti,Alto,Petrol,Manual,19.7,796,46.3,5
43,Maruti Alto,Maruti,Alto,Petrol,Manual,19.7,796,46.3,5
44,Maruti Alto,Maruti,Alto,Petrol,Manual,19.7,796,46.3,5
45,Maruti Alto,Maruti,Alto,Petrol,Manual,19.7,796,46.3,5
46,Maruti Alto,Maruti,Alto,Petrol,Manual,19.7,796,46.3,5
47,Maruti Alto,Maruti,Alto,Petrol,Manual,19.7,796,46.3,5
